Ano,Mes,Dia,Hora,U,V,UI
2010,6,4,6,-1.6737,-4.0172,294.5
2010,6,4,12,-3.4977,-8.3938,1285.8
2010,6,4,18,-1.0404,-9.9516,1677.4
2010,6,5,0,-1.8124,-10.671,1945.8
2010,6,5,6,-0.79993,-7.576,972.23
2010,6,5,12,2.5673,-6.2186,704.76
2010,6,5,18,-0.91519,-12.628,2693.2
2010,6,6,0,-5.6948,-7.6417,1226.8
2010,6,6,6,-3.1253,-5.0103,498.4
2010,6,6,12,-2.2914,-8.9597,1395.8
2010,6,6,18,-2.2546,-9.9343,1704.8
2010,6,7,0,-0.28561,-5.4884,508.12
2010,6,7,6,NaN,NaN,NaN
2010,6,7,12,NaN,NaN,NaN
2010,6,7,18,NaN,NaN,NaN
2010,6,8,0,8.6699,0.77211,-113.21
2010,6,8,6,8.9533,2.5409,-398.36
2010,6,8,12,9.5484,5.2708,-968.37
2010,6,8,18,1.6602,4.5516,-371.48
2010,6,9,0,-8.4208,-2.314,340.41
2010,6,9,6,1.2564,-12.838,2789.7
2010,6,9,12,4.3385,-10.114,1875.1
2010,6,9,18,4.2546,-6.6955,894.75
2010,6,10,0,3.726,-3.0805,250.88
2010,6,10,6,2.6209,-0.95692,44.975
2010,6,10,12,4.1645,-3.0525,265.5
2010,6,10,18,5.5995,-4.9001,614.21
2010,6,11,0,3.0596,-4.6614,437.83
2010,6,11,6,4.2882,-5.8806,720.97
2010,6,11,12,4.6685,-6.114,792.27
2010,6,11,18,0.64866,-8.9092,1340.6
2010,6,12,0,1.3548,-5.6449,552.02
2010,6,12,6,0.22755,-2.1635,79.281
2010,6,12,12,-3.4768,-9.0454,1476.6
2010,6,12,18,-8.8855,-13.036,3464.2
2010,6,13,0,-9.9591,-8.2184,1787.6
2010,6,13,6,-12.049,-10.014,2642.9
2010,6,13,12,-9.6264,-16.49,5304
2010,6,13,18,-15.613,-17.739,7061.3
2010,6,14,0,-11.484,-9.2959,2313.6
2010,6,14,6,-10.625,-8.0389,1804.2
2010,6,14,12,-10.234,-16.127,5189.1
2010,6,14,18,-12.019,-12.939,3849.3
2010,6,15,0,-8.7519,-7.9102,1571.9
2010,6,15,6,-5.943,-7.8504,1302.1
2010,6,15,12,-7.735,-14.893,4210.4
2010,6,15,18,-12.104,-15.477,5122.5
2010,6,16,0,-12.792,-12.957,3973.9
2010,6,16,6,-8.6283,-10.102,2260.6
2010,6,16,12,-7.6385,-15.039,4273.2
2010,6,16,18,-8.9736,-13.779,3816.7
2010,6,17,0,-9.6603,-7.3428,1500.9
2010,6,17,6,-4.9695,-5.4857,684
2010,6,17,12,-7.2438,-13.804,3625
2010,6,17,18,-11.915,-15.554,5133.9
2010,6,18,0,-7.8593,-9.0205,1818
2010,6,18,6,-7.5502,-10.612,2328.2
2010,6,18,12,-2.7514,-13.801,3271.5
2010,6,18,18,-11.989,-17.908,6501.4
2010,6,19,0,-12.753,-12.099,3582.8
2010,6,19,6,-5.999,-8.592,1516.7
2010,6,19,12,-4.6714,-13.12,3078.1
2010,6,19,18,-4.4775,-11.723,2478.1
2010,6,20,0,-9.0489,-9.1932,1997.7
2010,6,20,6,-7.141,-6.6454,1092
2010,6,20,12,-2.6422,-12.353,2628.7
2010,6,20,18,-8.6261,-14.337,4041
2010,6,21,0,-10.062,-9.6782,2276.2
2010,6,21,6,-3.8066,-4.9204,515.64
2010,6,21,12,-1.8858,-4.2188,328.41
2010,6,21,18,1.2259,-3.1813,182.71
2010,6,22,0,-0.7332,-4.0396,279.38
2010,6,22,6,-1.3203,-4.044,289.8
2010,6,22,12,-0.5544,-3.5939,220.15
